base,winner,cfr_total,vf_total,pr_total,winner_lines,winner_hard,winner_struct,winner_goto,winner_bytecode,winner_ext,cfr_present,vf_present,pr_present
io/legado/app/utils/GsonExtensionsKt,vf,-56.96,-114.38,-51.50,119,0,0,0,0,.kt,1,1,1
io/legado/app/utils/HtmlFormatter,vf,-75.52,-125.54,111604.27,102,0,0,0,0,.kt,1,1,1
io/legado/app/utils/IntJsonDeserializer,vf,-41.74,-97.44,-44.18,22,0,0,0,0,.kt,1,1,1
io/legado/app/utils/JsonExtensionsKt,vf,-47.48,-100.56,-46.26,28,0,0,0,0,.kt,1,1,1
io/legado/app/utils/JsoupExtensionsKt,vf,-80.94,-136.72,-60.78,111,0,0,0,0,.kt,1,1,1
io/legado/app/utils/LogUtilsKt,vf,-41.46,-92.12,-41.38,6,0,0,0,0,.kt,1,1,1
io/legado/app/utils/MD5Utils,vf,-53.30,-102.56,-52.16,53,0,0,0,0,.kt,1,1,1
io/legado/app/utils/MapDeserializerDoubleAsIntFix,vf,-65.10,-118.68,-64.70,59,0,0,0,0,.kt,1,1,1
io/legado/app/utils/NetworkUtils,vf,-114.10,-155.88,-95.24,169,0,0,0,0,.kt,1,1,1
io/legado/app/utils/ParameterizedTypeImpl,vf,-45.02,-97.50,-44.88,25,0,0,0,0,.kt,1,1,1
io/legado/app/utils/StringExtensionsKt,vf,-120.90,-181.98,111056.84,224,0,0,0,0,.kt,1,1,1
io/legado/app/utils/StringUtils,vf,-182.02,-242.56,-167.32,403,0,0,0,0,.kt,1,1,1
io/legado/app/utils/TextUtils,vf,-51.84,-51.88,-51.86,44,0,0,0,0,.java,1,1,1
io/legado/app/utils/ThrowableExtensionsKt,vf,-41.62,-46.20,-41.48,10,0,0,0,0,.kt,1,1,1
io/legado/app/utils/UTF8BOMFighter,vf,-50.34,-99.48,-49.06,24,0,0,0,0,.kt,1,1,1
io/legado/app/utils/Utf8BomUtils,vf,-51.44,-101.56,-50.16,28,0,0,0,0,.kt,1,1,1
io/legado/app/utils/XmlUtils,vf,-63.50,-112.70,-62.60,60,0,0,0,0,.kt,1,1,1
io/legado/app/utils/ZipUtils,vf,-171.06,-240.68,-152.04,484,0,0,0,0,.kt,1,1,1
io/legado/app/utils/ZipUtilsKt,vf,-42.60,-92.24,-40.46,12,0,0,0,0,.kt,1,1,1
me/ag2s/epublib/Constants,pr,-40.32,-40.24,-40.34,17,0,0,0,0,.java,1,1,1
